Date,Open,High,Low,Close,Volume,Currency
2018-06-07,0.9946,0.9955,0.976,0.9954,3001,USD
2018-06-08,0.9954,0.9955,0.975,0.9752,2862,USD
2018-06-09,0.9925,0.9953,0.9751,0.9953,1256,USD
2018-06-10,0.99,0.9955,0.9751,0.9827,3399,USD
2018-06-11,0.99,0.99,0.9601,0.99,37779,USD
2018-06-12,0.99,0.99,0.975,0.9899,5585,USD
2018-06-13,0.9899,0.9899,0.98,0.9899,13657,USD
2018-06-14,0.9899,0.993,0.98,0.991,16539,USD
2018-06-15,0.991,0.9955,0.99,0.995,27363,USD
2018-06-16,0.995,0.9958,0.9925,0.9925,7328,USD
2018-06-17,0.9958,0.9958,0.9888,0.9888,6162,USD
2018-06-18,0.9888,0.9958,0.985,0.9888,1433,USD
2018-06-19,0.99,0.9958,0.985,0.9958,1925,USD
2018-06-20,0.9958,0.9958,0.9875,0.9875,5070,USD
2018-06-21,0.9875,0.9958,0.9875,0.9958,8008,USD
2018-06-22,0.9958,0.9959,0.99,0.99,2811,USD
2018-06-23,0.99,0.9925,0.99,0.9914,1892,USD
2018-06-24,0.99,0.9915,0.9852,0.9915,17278,USD
2018-06-25,0.9915,0.9958,0.99,0.9958,11337,USD
2018-06-26,0.99,0.9956,0.99,0.9955,1621,USD
2018-06-27,0.9955,0.9955,0.98,0.98,1626,USD
2018-06-28,0.98,0.98,0.98,0.98,0,USD
2018-06-29,0.98,0.9944,0.975,0.9921,3432,USD
2018-06-30,0.9751,0.9921,0.9751,0.9752,572,USD
2018-07-01,0.9752,0.9752,0.975,0.975,537,USD
2018-07-02,0.975,0.981,0.9682,0.9701,1255,USD
2018-07-03,0.9701,0.9939,0.9701,0.9852,1363,USD
2018-07-04,0.9852,0.9939,0.98,0.9801,149,USD
2018-07-05,0.9801,0.9801,0.9725,0.9726,2188,USD
2018-07-06,0.9726,0.9894,0.9726,0.9894,2209,USD
2018-07-07,0.9894,0.9894,0.9725,0.9725,1623,USD
2018-07-08,0.9725,0.9955,0.9725,0.9955,1577,USD
2018-07-09,0.9955,0.9955,0.9725,0.9899,2958,USD
2018-07-10,0.9899,0.995,0.9725,0.9948,12239,USD
2018-07-11,0.9948,0.9948,0.9293,0.9293,18,USD
2018-07-12,0.9293,0.9769,0.9293,0.9769,684,USD
2018-07-13,0.9769,0.9769,0.9401,0.9401,769,USD
2018-07-14,0.9401,0.9936,0.9401,0.9775,1822,USD
2018-07-15,0.9775,0.9911,0.9775,0.9911,111,USD
2018-07-16,0.9911,0.9938,0.9911,0.9937,97,USD
2018-07-17,0.9937,0.995,0.9937,0.9939,1611,USD
2018-07-18,0.9939,0.995,0.985,0.985,4538,USD
2018-07-19,0.985,0.9875,0.985,0.9875,3189,USD
2018-07-20,0.9875,0.995,0.9875,0.9875,1758,USD
2018-07-21,0.9875,0.995,0.9875,0.9875,697,USD
2018-07-22,0.9875,0.9939,0.9875,0.9875,603,USD
2018-07-23,0.9875,0.995,0.9875,0.9925,430,USD
2018-07-24,0.9925,0.994,0.9875,0.993,630,USD
2018-07-25,0.993,0.994,0.9876,0.994,442,USD
2018-07-26,0.994,0.994,0.9876,0.9926,3290,USD
