symbols,link,data
PDD,https://www.morningstar.com/stocks/xnas/PDD/sustainability,
REGN,https://www.morningstar.com/stocks/xnas/REGN/sustainability,
ATVI,https://www.morningstar.com/stocks/xnas/ATVI/sustainability,
EQIX,https://www.morningstar.com/stocks/xnas/EQIX/sustainability,
FISV,https://www.morningstar.com/stocks/xnas/FISV/sustainability,
RIVN,https://www.morningstar.com/stocks/xnas/RIVN/sustainability,
MRNA,https://www.morningstar.com/stocks/xnas/MRNA/sustainability,
VRTX,https://www.morningstar.com/stocks/xnas/VRTX/sustainability,
EXC,https://www.morningstar.com/stocks/xnas/EXC/sustainability,
MAR,https://www.morningstar.com/stocks/xnas/MAR/sustainability,
MRVL,https://www.morningstar.com/stocks/xnas/MRVL/sustainability,
BIDU,https://www.morningstar.com/stocks/xnas/BIDU/sustainability,
KDP,https://www.morningstar.com/stocks/xnas/KDP/sustainability,
KLAC,https://www.morningstar.com/stocks/xnas/KLAC/sustainability,
WDAY,https://www.morningstar.com/stocks/xnas/WDAY/sustainability,
VOD,https://www.morningstar.com/stocks/xnas/VOD/sustainability,
FTNT,https://www.morningstar.com/stocks/xnas/FTNT/sustainability,
NXPI,https://www.morningstar.com/stocks/xnas/NXPI/sustainability,
DDOG,https://www.morningstar.com/stocks/xnas/DDOG/sustainability,
COIN,https://www.morningstar.com/stocks/xnas/COIN/sustainability,
ILMN,https://www.morningstar.com/stocks/xnas/ILMN/sustainability,
ADSK,https://www.morningstar.com/stocks/xnas/ADSK/sustainability,
PANW,https://www.morningstar.com/stocks/xnas/PANW/sustainability,
MELI,https://www.morningstar.com/stocks/xnas/MELI/sustainability,
KHC,https://www.morningstar.com/stocks/xnas/KHC/sustainability,
CTSH,https://www.morningstar.com/stocks/xnas/CTSH/sustainability,
ORLY,https://www.morningstar.com/stocks/xnas/ORLY/sustainability,
SNPS,https://www.morningstar.com/stocks/xnas/SNPS/sustainability,
LCID,https://www.morningstar.com/stocks/xnas/LCID/sustainability,
MNST,https://www.morningstar.com/stocks/xnas/MNST/sustainability,
AEP,https://www.morningstar.com/stocks/xnas/AEP/sustainability,
PAYX,https://www.morningstar.com/stocks/xnas/PAYX/sustainability,
IDXX,https://www.morningstar.com/stocks/xnas/IDXX/sustainability,
WBA,https://www.morningstar.com/stocks/xnas/WBA/sustainability,
MCHP,https://www.morningstar.com/stocks/xnas/MCHP/sustainability,
LULU,https://www.morningstar.com/stocks/xnas/LULU/sustainability,
ALGN,https://www.morningstar.com/stocks/xnas/ALGN/sustainability,
CTAS,https://www.morningstar.com/stocks/xnas/CTAS/sustainability,
BNTX,https://www.morningstar.com/stocks/xnas/BNTX/sustainability,
ZM,https://www.morningstar.com/stocks/xnas/ZM/sustainability,
CRWD,https://www.morningstar.com/stocks/xnas/CRWD/sustainability,
TTD,https://www.morningstar.com/stocks/xnas/TTD/sustainability,
CDNS,https://www.morningstar.com/stocks/xnas/CDNS/sustainability,
DXCM,https://www.morningstar.com/stocks/xnas/DXCM/sustainability,
EA,https://www.morningstar.com/stocks/xnas/EA/sustainability,
SIVB,https://www.morningstar.com/stocks/xnas/SIVB/sustainability,
XEL,https://www.morningstar.com/stocks/xnas/XEL/sustainability,
ZS,https://www.morningstar.com/stocks/xnas/ZS/sustainability,
EBAY,https://www.morningstar.com/stocks/xnas/EBAY/sustainability,
ERIC,https://www.morningstar.com/stocks/xnas/ERIC/sustainability,
ODFL,https://www.morningstar.com/stocks/xnas/ODFL/sustainability,
ROST,https://www.morningstar.com/stocks/xnas/ROST/sustainability,
FITB,https://www.morningstar.com/stocks/xnas/FITB/sustainability,
TROW,https://www.morningstar.com/stocks/xnas/TROW/sustainability,
PCAR,https://www.morningstar.com/stocks/xnas/PCAR/sustainability,
EXPE,https://www.morningstar.com/stocks/xnas/EXPE/sustainability,
DLTR,https://www.morningstar.com/stocks/xnas/DLTR/sustainability,
SBAC,https://www.morningstar.com/stocks/xnas/SBAC/sustainability,
BIIB,https://www.morningstar.com/stocks/xnas/BIIB/sustainability,
VRSK,https://www.morningstar.com/stocks/xnas/VRSK/sustainability,
MTCH,https://www.morningstar.com/stocks/xnas/MTCH/sustainability,
LI,https://www.morningstar.com/stocks/xnas/LI/sustainability,
FAST,https://www.morningstar.com/stocks/xnas/FAST/sustainability,
CPRT,https://www.morningstar.com/stocks/xnas/CPRT/sustainability,
NDAQ,https://www.morningstar.com/stocks/xnas/NDAQ/sustainability,
BKR,https://www.morningstar.com/stocks/xnas/BKR/sustainability,
WTW,https://www.morningstar.com/stocks/xnas/WTW/sustainability,
CERN,https://www.morningstar.com/stocks/xnas/CERN/sustainability,
GFS,https://www.morningstar.com/stocks/xnas/GFS/sustainability,
LBRDK,https://www.morningstar.com/stocks/xnas/LBRDK/sustainability,
ANSS,https://www.morningstar.com/stocks/xnas/ANSS/sustainability,
MDB,https://www.morningstar.com/stocks/xnas/MDB/sustainability,
